t,theta,omega
0.596,1.3794404178143336,-2.1255987282918363
0.597,1.3773137559323203,-2.129250273932184
0.598,1.375183440678285,-2.132900292749019
0.599,1.373049473579815,-2.1365487655868654
0.6,1.3709118561836626,-2.1401956732134613
0.601,1.3687705900558218,-2.1438409963198275
0.602,1.3666256767816054,-2.147484715520334
0.603,1.3644771179657214,-2.151126811352771
0.604,1.3623249152323498,-2.1547672642784215
0.605,1.3601690702252192,-2.1584060546821378
0.606,1.3580095846076832,-2.1620431628724197
0.607,1.3558464600627964,-2.1656785690814946
0.608,1.3536796982933914,-2.1693122534654017
0.609,1.3515093010221546,-2.1729441961040785
0.61,1.3493352699917023,-2.1765743770014483
0.611,1.347157606964657,-2.1802027760855127
0.612,1.3449763137237232,-2.1838293732084453
0.613,1.3427913920717631,-2.1874541481466885
0.614,1.3406028438318731,-2.1910770806010524
0.615,1.3384106708474586,-2.1946981501968184
0.616,1.3362148749823097,-2.198317336483842
0.617,1.3340154581206776,-2.2019346189366624
